MSOA21CD,IMD Decile
E02000896,6
E02000897,5
E02000898,6
E02000899,5
E02000900,4
E02000901,7
E02000902,5
E02000903,4
E02000904,5
E02000905,5
E02000906,4
E02000907,2
E02000908,5
E02000909,6
E02000910,4
E02000911,3
E02000912,4
E02000913,4
E02000914,3
E02000915,4
E02000916,4
E02000917,4
E02000918,4
E02000919,5
E02000920,3
E02000921,3
E02000922,4
E02000923,7
E02000925,5
E02000926,7
E02000927,4
E02000928,8
E02000929,3
E02000930,7
E02000931,8
E02000932,8
E02000933,9
E02000934,7
E02000935,3
E02000936,8
E02000937,9
E02000938,6
E02000939,9
E02000940,6
E02000941,7
E02000942,9
E02000943,7
E02000944,4
E02000945,3
E02000946,6
E02000947,9
E02000948,8
E02000949,8
E02000950,6
E02000951,6
E02000952,7
E02000953,8
E02000954,7
E02000955,5
E02000956,5
E02000957,4
E02000958,6
E02000959,4
E02000960,7
E02000961,7
E02000962,4
E02000963,2
E02000964,2
E02000965,6
E02000966,6
E02000967,7
E02000968,1
E02000969,2
E02000970,8
E02000971,6
E02000972,4
E02000973,6
E02000974,3
E02000975,6
E02000976,5
E02000977,6
E02000978,8
E02000979,7
E02000980,5
E02000981,5
E02000982,4
E02000983,5
E02000984,10
E02000985,8
E02000986,7
E02000987,3
E02000988,3
E02000989,8
E02000990,7
E02000991,6
E02000992,7
E02000993,2
E02000994,1
E02000995,5
E02000996,1
E02000997,6
E02000998,1
E02000999,1
E02001000,2
E02001001,4
E02001002,3
E02001003,8
E02001004,1
E02001005,2
E02001006,2
E02001007,5
E02001008,1
E02001009,3
E02001010,1
E02001011,8
E02001012,3
E02001013,7
E02001014,3
E02001015,2
E02001016,1
E02001017,5
E02001018,7
E02001019,6
E02001020,8
E02001021,8
E02001022,5
E02001023,6
E02001024,7
E02001025,2
E02001026,2
E02001027,2
E02001028,10
E02001029,2
E02001030,7
E02001031,5
E02001032,5
E02001033,3
E02001034,1
E02001035,8
E02001036,5
E02001037,9
E02001038,4
E02001039,3
E02001040,5
E02001041,5
E02001042,5
E02001043,5
E02001044,5
E02001045,1
E02001046,1
E02001047,2
E02001048,2
E02001049,3
E02001050,1
E02001051,2
E02001052,1
E02001053,1
E02001055,1
E02001056,1
E02001059,1
E02001061,1
E02001062,1
E02001063,4
E02001064,1
E02001065,1
E02001066,2
E02001067,1
E02001068,1
E02001069,2
E02001070,3
E02001072,3
E02001073,5
E02001074,2
E02001075,1
E02001076,3
E02001077,6
E02001078,4
E02001079,3
E02001080,4
E02001081,7
E02001082,5
E02001083,7
E02001084,6
E02001085,2
E02001086,4
E02001087,8
E02001088,2
E02001089,8
E02001090,4
E02001091,4
E02001092,2
E02001093,3
E02001094,1
E02001095,2
E02001096,2
E02001097,2
E02001098,5
E02001099,3
E02001100,5
E02001101,6
E02001102,5
E02001103,6
E02001104,4
E02001105,4
E02001106,4
E02001107,5
E02001108,2
E02001109,2
E02001110,7
E02001111,1
E02001112,8
E02001113,1
E02001114,3
E02001115,4
E02001116,1
E02001117,7
E02001118,7
E02001119,1
E02001121,1
E02001123,2
E02001124,1
E02001125,4
E02001126,1
E02001127,1
E02001128,2
E02001129,2
E02001130,4
E02001131,6
E02001132,4
E02001133,6
E02001134,6
E02001135,1
E02001136,4
E02001137,6
E02001138,7
E02001139,1
E02001140,2
E02001141,1
E02001142,7
E02001143,2
E02001144,4
E02001145,5
E02001146,1
E02001147,3
E02001148,3
E02001149,2
E02001150,2
E02001151,5
E02001152,3
E02001153,2
E02001154,3
E02001155,2
E02001156,8
E02001157,1
E02001158,1
E02001159,3
E02001160,2
E02001161,4
E02001162,3
E02001163,6
E02001164,2
E02001165,4
E02001166,2
E02001167,3
E02001168,3
E02001169,9
E02001170,9
E02001171,7
E02001173,1
E02001174,5
E02001175,4
E02001176,5
E02001177,3
E02001179,2
E02001180,1
E02001181,2
E02001182,1
E02001183,2
E02001185,4
E02001186,3
E02001187,4
E02001188,3
E02001189,5
E02001190,1
E02001191,6
E02001192,7
E02001193,3
E02001194,8
E02001195,6
E02001196,7
E02001197,8
E02001198,4
E02001199,9
E02001200,1
E02001201,6
E02001202,1
E02001203,9
E02001204,5
E02001205,4
E02001206,7
E02001207,7
E02001208,6
E02001209,4
E02001210,4
E02001211,9
E02001212,2
E02001213,7
E02001214,8
E02001215,6
E02001216,9
E02001217,5
E02001218,9
E02001219,10
E02001220,8
E02001221,9
E02001222,7
E02001223,9
E02001224,9
E02001225,9
E02001226,7
E02001227,10
E02001228,10
E02001229,5
E02001230,4
E02001231,5
E02001232,3
E02001233,3
E02001234,2
E02001235,4
E02001236,1
E02001237,4
E02001238,4
E02001239,4
E02001240,4
E02001241,1
E02001242,7
E02001243,5
E02001244,6
E02001245,3
E02001246,2
E02001247,3
E02001248,3
E02001249,3
E02001250,7
E02001251,5
E02001252,7
E02001253,4
E02001254,4
E02001255,1
E02001256,1
E02001257,3
E02001258,7
E02001259,3
E02001260,6
E02001261,4
E02001262,4
E02001263,9
E02001264,7
E02001265,7
E02001266,4
E02001267,6
E02001268,8
E02001269,3
E02001270,7
E02001271,6
E02001272,9
E02001273,8
E02001274,10
E02001275,2
E02001276,6
E02001277,6
E02001278,10
E02001279,10
E02001280,6
E02001281,10
E02001282,8
E02001283,9
E02001284,10
E02001285,9
E02001286,9
E02001287,9
E02001288,8
E02001289,8
E02001290,6
E02001291,4
E02001292,6
E02001293,6
E02001294,2
E02001295,2
E02001296,1
E02001297,4
E02001298,1
E02001299,4
E02001300,3
E02001301,4
E02001302,4
E02001303,2
E02001304,8
E02001305,6
E02001306,7
E02001307,9
E02001308,4
E02001309,4
E02001310,2
E02001311,5
E02001312,4
E02001313,2
E02001314,8
E02001315,7
E02001316,2
E02001317,5
E02001318,5
E02001319,2
E02001320,4
E02001321,6
E02001322,5
E02001323,4
E02001324,4
E02001325,8
E02001326,6
E02001327,1
E02001328,5
E02001329,1
E02001330,2
E02001331,2
E02001332,2
E02001333,2
E02001334,1
E02001335,6
E02001336,1
E02001337,3
E02001338,3
E02001339,2
E02001340,7
E02001341,2
E02001342,8
E02001343,7
E02001344,4
E02001345,7
E02001346,2
E02001347,3
E02001348,3
E02001349,3
E02001350,2
E02001351,2
E02001352,1
E02001353,5
E02001354,2
E02001355,1
E02001356,2
E02001357,1
E02001358,1
E02001359,4
E02001360,1
E02001361,2
E02001362,3
E02001363,2
E02001364,1
E02001365,1
E02001366,2
E02001367,5
E02001368,1
E02001369,1
E02001370,1
E02001371,2
E02001372,3
E02001373,2
E02001374,1
E02001375,2
E02001376,2
E02001377,4
E02001378,2
E02001380,7
E02001381,1
E02001382,8
E02001383,2
E02001384,3
E02001385,1
E02001386,2
E02001387,9
E02001388,6
E02001389,1
E02001390,1
E02001391,2
E02001392,8
E02001393,10
E02001394,4
E02001395,8
E02001396,6
E02001397,6
E02001398,4
E02001399,8
E02001400,4
E02001401,7
E02001402,7
E02001403,2
E02001404,2
E02001405,1
E02001406,8
E02001407,7
E02001408,7
E02001409,4
E02001410,3
E02001411,4
E02001412,5
E02001413,4
E02001414,9
E02001415,4
E02001416,2
E02001417,2
E02001418,2
E02001419,2
E02001420,6
E02001421,3
E02001422,1
E02001423,8
E02001425,4
E02001426,5
E02001427,3
E02001428,8
E02001429,6
E02001430,7
E02001431,5
E02001432,2
E02001433,4
E02001434,5
E02001435,3
E02001436,6
E02001437,7
E02001438,7
E02001439,4
E02001440,9
E02001441,9
E02001442,9
E02001443,9
E02001444,7
E02001445,8
E02001446,7
E02001447,7
E02001448,8
E02001449,6
E02001450,8
E02001451,2
E02001452,1
E02001453,8
E02001454,6
E02001455,6
E02001456,6
E02001457,1
E02001458,4
E02001459,4
E02001460,2
E02001461,6
E02001462,1
E02001463,3
E02001464,1
E02001465,1
E02001466,2
E02001467,3
E02001468,3
E02001469,6
E02001470,6
E02001471,1
E02001472,5
E02001473,3
E02001474,1
E02001475,2
E02001476,1
E02001477,1
E02001478,4
E02001479,8
E02001480,7
E02001481,5
E02001482,1
E02001483,8
E02001484,6
E02001485,2
E02001486,5
E02001487,1
E02001488,3
E02001489,9
E02001490,7
E02001491,2
E02001492,7
E02001493,1
E02001494,10
E02001495,3
E02001496,7
E02001497,2
E02001498,7
E02001499,9
E02001500,8
E02001501,8
E02001502,6
E02001503,8
E02001504,9
E02001505,6
E02001506,10
E02001507,10
E02001508,5
E02001509,5
E02001510,3
E02001511,3
E02001512,6
E02001513,6
E02001514,2
E02001515,1
E02001516,4
E02001517,5
E02001518,4
E02001519,2
E02001520,7
E02001521,2
E02001522,2
E02001523,5
E02001524,8
E02001525,1
E02001526,1
E02001527,5
E02001528,3
E02001529,3
E02001530,1
E02001531,3
E02001532,8
E02001533,3
E02001534,4
E02001535,6
E02001536,5
E02001537,4
E02001538,4
E02001539,2
E02001540,3
E02001541,3
E02001542,2
E02001543,3
E02001544,4
E02001545,7
E02001546,5
E02001547,3
E02001548,2
E02001549,6
E02001550,5
E02001551,4
E02001552,3
E02001553,3
E02001554,7
E02001555,6
E02001556,3
E02001557,3
E02001558,5
E02001559,8
E02001560,1
E02001561,2
E02001562,4
E02001563,7
E02001564,8
E02001565,9
E02001566,3
E02001567,4
E02001568,3
E02001569,2
E02001570,2
E02001571,6
E02001572,2
E02001573,3
E02001574,6
E02001575,2
E02001576,6
E02001577,7
E02001578,4
E02001579,3
E02001580,4
E02001581,4
E02001582,4
E02001583,3
E02001584,7
E02001585,2
E02001586,2
E02001587,2
E02001588,2
E02001589,7
E02001590,1
E02001591,1
E02001592,5
E02001593,1
E02001594,1
E02001595,6
E02001596,6
E02001597,2
E02001598,6
E02001600,6
E02001602,5
E02001603,3
E02001604,6
E02001605,5
E02001606,4
E02001607,5
E02001608,6
E02001609,7
E02001610,7
E02001611,5
E02001612,6
E02001613,5
E02001614,7
E02001615,8
E02001616,4
E02001617,2
E02001618,7
E02001619,1
E02001620,2
E02001621,2
E02001622,3
E02001623,1
E02001624,3
E02001625,1
E02001626,6
E02001627,3
E02001628,1
E02001629,1
E02001630,1
E02001631,6
E02001632,1
E02001633,8
E02001634,7
E02001635,4
E02001636,4
E02001637,1
E02001638,8
E02001639,8
E02001640,8
E02001642,4
E02001643,10
E02001646,8
E02001647,4
E02001648,9
E02001649,1
E02001650,4
E02001651,10
E02001652,4
E02001653,2
E02001654,5
E02001655,3
E02001656,8
E02001657,9
E02001658,1
E02001659,2
E02001660,6
E02001661,2
E02001662,4
E02001663,7
E02001664,5
E02001665,10
E02001666,3
E02001669,7
E02001670,1
E02001671,7
E02001672,6
E02001673,9
E02001674,7
E02001675,4
E02001676,9
E02001678,9
E02001679,3
E02001680,1
E02001681,7
E02001682,7
E02001683,6
E02001684,3
E02001685,3
E02001686,7
E02001688,2
E02001689,1
E02001690,5
E02001691,2
E02001692,2
E02001693,2
E02001694,5
E02001695,6
E02001696,3
E02001697,7
E02001698,9
E02001699,3
E02001700,6
E02001701,8
E02001702,2
E02001703,7
E02001704,3
E02001706,4
E02001707,4
E02001709,9
E02001710,2
E02001711,4
E02001712,8
E02001713,6
E02001714,10
E02001715,3
E02001718,2
E02001719,7
E02001720,9
E02001721,4
E02001722,3
E02001723,3
E02001724,8
E02001725,2
E02001726,3
E02001727,4
E02001728,5
E02001729,2
E02001732,2
E02001734,2
E02001735,1
E02001737,1
E02001738,10
E02001739,5
E02001740,9
E02001741,8
E02001742,10
E02001743,5
E02001744,7
E02001745,5
E02001746,7
E02001747,8
E02001748,5
E02001749,7
E02001750,9
E02001751,5
E02001752,3
E02001753,6
E02001754,8
E02001755,7
E02001756,4
E02001757,5
E02001758,5
E02001759,3
E02001760,2
E02001761,4
E02001762,7
E02001763,2
E02001764,2
E02001765,2
E02001766,3
